"antecedent","succedent","p_con","p_occ","p_dur","null_obs"
"(i_gaze_away;mother-speech;inf_smile;m_gaze_at)","(mo_smile;infant_voc)",999.0,999.0,999.0,1
"(m_gaze_at;i_gaze_at_object;inf_smile;infant_voc;mo_smile)","(mother-speech)",999.0,999.0,999.0,1
"(infant_voc;mother-speech;mo_smile;inf_smile)","(m_gaze_at;i_gaze_at_object)",999.0,999.0,999.0,1
"(i_gaze_away;mother-speech;inf_smile;infant_voc)","(mo_smile)",999.0,999.0,999.0,4
"(i_gaze_at;inf_smile;m_gaze_at;mo_smile)","(mother-speech)",999.0,999.0,999.0,4
"(m_gaze_at;i_gaze_at;mo_smile;infant_voc)","(inf_smile)",999.0,999.0,999.0,13
"(infant_voc;mo_smile;inf_smile;i_gaze_away)","(m_gaze_at_object)",999.0,999.0,999.0,1
"(mother-speech;mo_smile;m_gaze_away)","(inf_smile;infant_voc;i_gaze_at)",999.0,999.0,999.0,1
"(inf_smile;i_gaze_away)","(infant_voc;m_gaze_at)",999.0,999.0,999.0,1
"(i_gaze_away;inf_smile)","(mother-speech;m_gaze_at_object)",999.0,999.0,999.0,13
"(m_gaze_at;mother-speech;infant_voc)","(mo_smile;i_gaze_at;inf_smile)",999.0,999.0,999.0,1
"(infant_voc;m_gaze_at_object)","(mo_smile;inf_smile)",999.0,999.0,999.0,9
"(mo_smile;inf_smile;m_gaze_at)","(i_gaze_at)",999.0,999.0,999.0,10
"(inf_smile)","(m_gaze_at;mother-speech)",0.0967741935483871,1.0,0.08064516129032258,62
"(i_gaze_at;infant_voc;m_gaze_away)","(mo_smile;inf_smile)",999.0,999.0,999.0,4
"(mo_smile;i_gaze_at_object;inf_smile;m_gaze_at_object)","(infant_voc;mother-speech)",999.0,999.0,999.0,1
"(inf_smile;m_gaze_at)","(mother-speech;i_gaze_at;mo_smile)",999.0,999.0,999.0,4
"(i_gaze_away;m_gaze_at_object)","(mo_smile;inf_smile)",999.0,999.0,999.0,8
"(m_gaze_at;i_gaze_at_object;mo_smile)","(mother-speech)",999.0,999.0,999.0,19
"(mother-speech;m_gaze_away;mo_smile;i_gaze_at)","(infant_voc)",999.0,999.0,999.0,1
"(inf_smile)","(m_gaze_at;i_gaze_at;mo_smile)",999.0,999.0,999.0,26
"(mo_smile;i_gaze_at_object;inf_smile)","(mother-speech)",999.0,999.0,999.0,9
"(m_gaze_at_object)","(i_gaze_at;inf_smile)",999.0,999.0,999.0,44
